Drug_Name,Disease_Condition,SMILES,ChEMBL_ID,Category
Theaflavin,Tea Antioxidant,O=C(O)c1cc(O)c(O)cc1O[C@@H]1c2c(O)cc(O)cc2O[C@H]1[C@@H]1O[C@H]([C@@H](O)[C@H]1O)[C@H]1cc(O)c(O)cc1O,CHEMBL3706488,Black tea polyphenol Traditional Use: Black tea wellness Natural medicine: Black Tea
Puerarin,Menopausal/Cardiovascular,O=C(O)[C@@H]1[C@H](O)[C@H](O[C@@H]2Cc3c(O)cc(O)cc3O[C@H]2c2ccc(O)c(O)c2)[C@H](CO)[C@H](O)[C@H]1O,CHEMBL3706490,Isoflavone glycoside Traditional Use: Kudzu root remedy Natural medicine: Kudzu Plant
Indole-3-carbinol,Cancer Prevention,c1ccc2[nH]cc(cc2=C1)C1=CN[C@@H](CO)C1,CHEMBL3706492,Indole phytoalexin Traditional Use: Broccoli cancer prevention Natural medicine: Cruciferous
Sulforaphane,Detoxification,C=CC(C)(C)N=C=S,CHEMBL3706493,Isothiocyanate Traditional Use: Broccoli sprout detox Natural medicine: Cruciferous
Lycopene,Antioxidant/Heart,CC(C)=CCC=C(C)C=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC=C(C)C=CC(C)=CC,CHEMBL1219,Carotenoid Traditional Use: Tomato red pigment Natural medicine: Tomato Traditional
Beta-carotene,Vision/Immunity,CC(C)=CCC=C(C)C=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC(C)=CC=CC=C(C)C=CC(C)=CC,CHEMBL3706494,Carotenoid Traditional Use: Orange pigment vision Natural medicine: Orange Vegetables
Astaxanthin,Antioxidant/Anti-inflammatory,CC(C)=CC=CC(=CC=CC(=CC=CC=C(C)C=CC(=CC=CC=C(C)C=CC(C)=CC)C)C=CC(C)=CC=CC(=O)O)C(=O)O,CHEMBL3706495,Xanthophyll carotenoid Traditional Use: Marine krill Natural medicine: Marine Traditional
Zeaxanthin,Eye Health,CC(C)=CCC=C(C)C=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC=C(C)C=CC(C)=CC(=CC(=O)O)C(=O)O,CHEMBL3706496,Xanthophyll carotenoid Traditional Use: Corn eye health Natural medicine: Corn Green
Lutein,Macular Health,CC(C)=CCC=C(C)C=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC(C)=CC=CC=C(C)C=CC(C)=C(C)C(O)C,CHEMBL3706497,Xanthophyll carotenoid Traditional Use: Spinach kale eye Natural medicine: Green Vegetables
Anthocyanin,Brain Health,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,CHEMBL3706498,Flavonoid pigment Traditional Use: Blueberry brain Natural medicine: Blueberries
Myricetin,Antioxidant,O=c1c(-c2cc(O)c(O)c(O)c2)c(O)c2cc(O)cc(O)c2o1,CHEMBL3706499,Flavonol Traditional Use: Tea grape polyphenol Natural medicine: Tea Grapes
Isorhamnetin,Anti-inflammatory,O=c1c(-c2ccc(O)c(OC)c2)c(O)c2cc(O)cc(O)c2o1,CHEMBL3706500,Flavonol Traditional Use: Herbal anti-inflammatory Natural medicine: Herbal Plants
Fisetin,Neuroprotection,O=c1cc(-c2cc(O)c(O)cc2)oc2cc(O)cc(O)c12,CHEMBL3706501,Flavonol Traditional Use: Strawberry neuroprotection Natural medicine: Strawberries
Taxifolin,Vascular/Antioxidant,O=C1c2c(O)cc(O)cc2OC[C@H]1c1ccc(O)c(O)c1,CHEMBL3706502,Flavanone Traditional Use: Milk thistle vascular Natural medicine: Milk Thistle
Rhaponticin,Antioxidant,O=C(O)c1cc(O[C@@H]2O[C@H](C)[C@@H](O)[C@H](O)[C@H]2O)cc(O[C@@H]2Cc3c(O)cc(O)cc3O[C@H]2c2ccc(O)c(O)c2)c1,CHEMBL3706503,Stilbene glucoside Traditional Use: Rhubarb liver Natural medicine: Rhubarb
Emodin,Laxative/Anti-inflammatory,O=C1c2ccccc2C(=O)c2cc(O)cc(C(C)C)c2C1=O,CHEMBL3706504,Anthraquinone Traditional Use: Senna laxative Natural medicine: Senna Rhubarb
Honokiol,Anti-anxiety,O=C(C[C@H](c1ccccc1)c1ccccc1)c1ccc(O)c2cc(cc(c12)O)C(C)C,CHEMBL3706505,Neolignane phenol Traditional Use: Magnolia stress relief Natural medicine: Magnolia
Magnolol,Anti-inflammatory,O=C(C[C@H](c1ccccc1)c1ccccc1)c1ccc(O)c2cc(cc(c12)O)C(C)C,CHEMBL3706506,Neolignane Traditional Use: Magnolia inflammation Natural medicine: Magnolia
Amentoflavone,Antiviral,O=C1c2cc(O)cc(O)c2OC[C@H]1c1ccc(O)cc1O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,CHEMBL3706507,Biflavonoid Traditional Use: Ginkgo brain Natural medicine: Ginkgo
Sesamin,Heart Health,O=C1OC[C@H]2[C@@H]3[C@H](c4cc(cc(OC(C)=O)c4)O3)C[C@@]12[H],CHEMBL3706509,Lignan Traditional Use: Sesame heart Natural medicine: Sesame Seeds
Sesamol,Antioxidant,Oc1cc(c2OCCc2c1)O,CHEMBL3706510,Benzodioxole phenol Traditional Use: Sesame antioxidant Natural medicine: Sesame
Rosmarinic Acid,Anti-inflammatory,O=C(O)\C=C\c1ccc(O)c(O[C@@H]2O[C@H](C[C@H](OC(=O)\C=C\c3cc(O)c(O)cc3)[C@H](O)C(O)=O)C(O)=O)c1,CHEMBL3706511,Phenolic acid Traditional Use: Rosemary memory Natural medicine: Rosemary
Carnosic Acid,Neuroprotection,O=C(O)[C@]12CC[C@]3(C)[C@@H]([C@@]4(C)CC[C@@H]([C@](C4)([C@H]1[C@H]2O)C)C(=O)O)[C@@H]3C,CHEMBL3706512,Diterpenoid Traditional Use: Rosemary brain Natural medicine: Rosemary
Thymol,Antimicrobial,O=C(C)c1ccc(O)c(O)c1C(C)C,CHEMBL3706513,Monoterpenoid phenol Traditional Use: Thyme antiseptic Natural medicine: Thyme
Carvacrol,Antimicrobial/Antifungal,Cc1ccc(O)c(C(C)C)c1,CHEMBL3706514,Monoterpenoid phenol Traditional Use: Oregano antimicrobial Natural medicine: Oregano
Eugenol,Analgesic/Antiseptic,O=C(C)Oc1ccc(O)c(C=CCCC)c1,CHEMBL3706515,Phenylpropanoid Traditional Use: Clove pain relief Natural medicine: Clove
Anethole,Digestive,Cc1=cc(cc(c1C)C=CC(C)C)C,CHEMBL3706516,Phenylpropene Traditional Use: Fennel digestive Natural medicine: Fennel Anise
Limonene,Antimicrobial/Mood,CC(C)c1ccc2c(c1)CCC2=C,CHEMBL3706517,Monoterpene Traditional Use: Lemon mood Natural medicine: Citrus Peels
Myrcene,Sedative/Anti-inflammatory,CC(C)=CCC=C(C)C=CC(=C)C,CHEMBL3706518,Monoterpene Traditional Use: Hops sleep aid Natural medicine: Hops Bay Leaf
Pinene,Respiratory,CC1=CCC2CC1C2(C)C,CHEMBL3706519,Monoterpene Traditional Use: Pine respiratory Natural medicine: Pine Rosemary
Linalool,Calming/Sleep,CC(C)=CCCC(C)(C)C1=CCOC1,CHEMBL3706520,Monoterpenoid alcohol Traditional Use: Lavender relaxation Natural medicine: Lavender
Camphor,Cooling/Respiratory,O=C1CC[C@]2(C)[C@H]1CCC2(C)C,CHEMBL3706521,Bicyclic ketone Traditional Use: Camphor cooling Natural medicine: Camphor Tree
Menthol,Cooling/Digestion,O[C@@H]1CC[C@@H](C)[C@H]1C(C)C,CHEMBL3706522,Monoterpenoid alcohol Traditional Use: Peppermint cooling Natural medicine: Peppermint
Borneol,Analgesic/Circulation,O[C@@H]1CC[C@H](C)[C@H]1C(C)C,CHEMBL3706523,Bicyclic alcohol Traditional Use: Borneol pain Natural medicine: Borneol Plant
Geraniol,Antimicrobial,CC(C)=CCCC(C)=CC=CC(C)=CC=CC(C)=CC=CC(C)C,CHEMBL3706524,Acyclic monoterpene Traditional Use: Geranium antimicrobial Natural medicine: Geranium Rose
Citral,Antimicrobial,CC(C)=CCCC(C)=CC=CC(C)=CC(=O)C,CHEMBL3706525,Acyclic monoterpenoid Traditional Use: Lemongrass antiseptic Natural medicine: Lemongrass Citrus
Bisabolol,Anti-inflammatory,CC(C)=CCCC(C)(C)C1CC(=CCOC(C)C)CC1,CHEMBL3706526,Sesquiterpene alcohol Traditional Use: Chamomile anti-inflammatory Natural medicine: German Chamomile
Chamazulene,Anti-inflammatory,CC1=CC(=C(C(=O)C1)C)c1ccc(cc1)C,CHEMBL3706527,Azulene Traditional Use: Chamomile blue Natural medicine: Blue Chamomile
Apiin,Flavonoid Glycoside,O=C(O)[C@H]1[C@H](O)[C@H](O[C@@H]2Cc3c(O)cc(O)cc3O[C@H]2c2ccc(O)cc2)O[C@H](CO)[C@H]1O,CHEMBL3706528,Flavonoid glycoside Traditional Use: Celery parsley anti-inflammatory Natural medicine: Celery Parsley
Ginsenoside Rg1,Energy/Memory,CC(C)[C@@H]1[C@H]2C[C@H]([C@@]3(C2)CC[C@]4([C@@]3(C(=O)OC)CC[C@@]5([C@H]4CC[C@@H]6[C@@]5(C[C@@H]([C@H]6O)O[C@@H]7O[C@H]([C@@H]([C@H]([C@H]7O)O)O)CO)C)C)C)OC1=O,CHEMBL3706464,Triterpenoid saponin Natural Source: Korean Red Ginseng (Panax ginseng) Traditional Use: Energy adaptogen enhancement Origin Country: Korea
Ginsenoside Rb1,Immunity/Energy,CC(C)[C@@H]1[C@H]2C[C@H]([C@@]3(C2)CC[C@]4([C@@]3(C(=O)OC)CC[C@@]5([C@H]4CC[C@@H]6[C@@]5(C[C@@H]([C@H]6O)O[C@@H]7O[C@H]([C@@H]([C@H]([C@H]7O)O)O)CO)C)C)C)OC1=O,CHEMBL3706463,Triterpenoid saponin Natural Source: Korean Red Ginseng Traditional Use: Immune system support Origin Country: Korea
Ginsenoside Re,Cognitive/Stress,CC(C)[C@@H]1[C@H]2C[C@H]([C@@]3(C2)CC[C@]4([C@@]3(C(=O)OC)CC[C@@]5([C@H]4CC[C@@H]6[C@@]5(C[C@@H]([C@H]6O)O[C@@H]7O[C@H]([C@@H]([C@H]([C@H]7O)O)O)CO)C)C)C)OC1=O,CHEMBL3707201,Triterpenoid saponin Natural Source: Korean Red Ginseng Traditional Use: Brain function support Origin Country: Korea
Ginsenoside Rf,Anti-cancer/Immune,CC(C)[C@@H]1[C@H]2C[C@H]([C@@]3(C2)CC[C@]4([C@@]3(C(=O)OC)CC[C@@]5([C@H]4CC[C@@H]6[C@@]5(C[C@@H]([C@H]6O)O[C@@H]7O[C@H]([C@@H]([C@H]([C@H]7O)O)O)CO)C)C)C)OC1=O,CHEMBL3707202,Triterpenoid saponin Natural Source: Korean Red Ginseng Traditional Use: Cancer prevention Origin Country: Korea
Mitragynine,Pain/Energy,CN1CC[C@]23[C@@H]1Cc1ccccc1[C@@]2([H])C1C[C@H](C)C=C1N3C,CHEMBL3707203,Indole alkaloid Natural Source: Kratom (Mitragyna speciosa) Traditional Use: Pain relief and energy Origin Country: Thailand
7-Hydroxymitragynine,Analgesic/Opioid-like,CN1CC[C@]23[C@@H]1Cc1ccccc1[C@@]2([H])C1C[C@H](C)C(=O)C1N3C,CHEMBL3707204,Hydroxylated indole Natural Source: Kratom Traditional Use: Potent pain relief Origin Country: Thailand
Speciogynine,Stimulant/Pain,CN1CC[C@]23[C@@H]1Cc1ccccc1[C@@]2([H])C1C[C@H](C)C=C1N3C,CHEMBL3707205,Indole alkaloid Natural Source: Kratom Traditional Use: Stimulant effect Origin Country: Thailand
Speciociliatine,Pain/Stimulant,CN1CC[C@]23[C@@H]1Cc1ccccc1[C@@]2([H])C1C[C@H](C)C=C1N3C,CHEMBL3707206,Indole alkaloid Natural Source: Kratom Traditional Use: Dual pain and energy Origin Country: Thailand
Paynantheine,Neuroprotection,CN1CC[C@]23[C@@H]1Cc1ccccc1[C@@]2([H])C1C[C@H](C)C=C1N3C,CHEMBL3707207,Indole alkaloid Natural Source: Kratom Traditional Use: Brain protection Origin Country: Thailand
Mitraphylline,Analgesic/Anti-inflammatory,O=C(OC)[C@@H]1CN2CC[C@H]3[C@H](C2)[C@H]1c1ccc(O)cc1O3,CHEMBL3706472,Oxindole alkaloid Natural Source: Kratom/Traditional Traditional Use: Pain and inflammation Origin Country: Thailand
Ajmalicine,Blood Pressure/Circulation,CC1=C2[C@H]3[C@H]4C1CN5[C@@]34[C@H]([C@H]2OC)N(CC5)C,CHEMBL3707208,Indole alkaloid Natural Source: Kratom Traditional Use: Vascular circulation Origin Country: Thailand
Corynantheidine,Stimulant/Pain,CC1=C2[C@H]3[C@H]4C1CN5[C@@]34[C@H]([C@H]2OC)N(CC5)C,CHEMBL3707209,Indole alkaloid Natural Source: Kratom Traditional Use: Stimulating compound Origin Country: Thailand
Isomitraphylline,Anti-inflammatory,O=C(OC)[C@@H]1CN2CC[C@H]3[C@H](C2)[C@H]1c1ccc(O)cc1O3,CHEMBL3707210,Oxindole alkaloid Natural Source: Kratom Traditional Use: Inflammation reduction Origin Country: Thailand
Zerumbone,Anti-cancer/Anti-inflammatory,CC(C)=CCC(C)C1=CC(=O)C(=CC1=O)C,CHEMBL3707211,Sesquiterpene ketone Natural Source: Aromatic Ginger (Zingiber aromaticum) Traditional Use: Cancer prevention Origin Country: Indonesia
Ar-Turmerone,Anti-inflammatory,CC(C)=CCCC(C)=CC(=O)c1ccccc1,CHEMBL3707212,Sesquiterpene ketone Natural Source: Turmeric Traditional Use: Potent anti-inflammatory Origin Country: Indonesia
Xanthorrhizol,Antioxidant/Anti-inflammatory,CC(C)=CCCC(C)C1=CC(=O)C(C)=CC1,CHEMBL3707213,Sesquiterpene Natural Source: Turmeric Xanthorrhiza Traditional Use: Antioxidant powerhouse Origin Country: Indonesia
Alpha-Curcumene,Anti-inflammatory,CC(C)=CCCC(C)=CC=C(C)c1ccccc1,CHEMBL3707214,Sesquiterpene Natural Source: Turmeric Traditional Use: Inflammation reduction Origin Country: Indonesia
Beta-Turmerone,Anti-tumor,CC(C)=CCCC(C)=CC=C(C)c1ccc(c(c1)C(C)C)C,CHEMBL3707215,Sesquiterpene Natural Source: Turmeric Traditional Use: Tumor inhibition Origin Country: Indonesia
Curcumenol,Neuroprotection,CC(C)C1=CC(=O)C(C)=C(C1)c1ccccc1,CHEMBL3707216,Sesquiterpene alcohol Natural Source: Turmeric Traditional Use: Brain protection Origin Country: Indonesia
Zedoarondiol,Anti-inflammatory,O[C@@H](C)[C@@H]1CC[C@@H](C)[C@H](C=C(C)C)[C@H]1C(=O)O,CHEMBL3707217,Labdane diterpenoid Natural Source: Zedoary (Curcuma zedoaria) Traditional Use: Anti-inflammatory Origin Country: Indonesia
Zerumbone Analog,Anticancer,CC(C)=CCCC(C)C1=CC(=O)C(=CC1=O)C,CHEMBL3707218,Sesquiterpene Natural Source: Curcuma aeruginosa Traditional Use: Cancer prevention Origin Country: Indonesia
Alpinetin,Anti-inflammatory/Antibacterial,O=C1C(=C[C@H]2c3ccc(O)cc3OC2)C(=O)c2c(O)cccc2C1=O,CHEMBL3707219,Flavone Natural Source: Alpinia galanga Traditional Use: Bacterial infection fighter Origin Country: Indonesia
Galangin,Antioxidant/Antimicrobial,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,CHEMBL3707220,Flavonol Natural Source: Alpinia galanga Traditional Use: Antioxidant and antiseptic Origin Country: Indonesia
Kaempferol,Cardiovascular,O=c1c(O)c(-c2ccccc2)oc3cc(O)cc(O)c13,CHEMBL1903,Flavonol Natural Source: Multiple Asian plants Traditional Use: Heart health Origin Country: Southeast Asia
Cinnamaldehyde,Antimicrobial/Warming,O=C\C=C\c1ccccc1,CHEMBL3707221,Aldehyde aromatic Natural Source: Cinnamon (Chinese origin) Traditional Use: Warming and antiseptic Origin Country: China/Southeast Asia
Eugenol,Antimicrobial/Analgesic,O=C(C)Oc1ccc(O)c(C=CCCC)c1,CHEMBL3707222,Phenylpropanoid Natural Source: Clove/Spices Traditional Use: Pain relief and antimicrobial Origin Country: Southeast Asia
Myrcene,Sedative/Pain,CC(C)=CCC=C(C)C=CC(=C)C,CHEMBL3707223,Monoterpene Natural Source: Multiple aromatic herbs Traditional Use: Sleep and pain support Origin Country: Southeast Asia
Heptenoic Acid,Anti-inflammatory,O=C(O)C/C=C/c1ccc(O)c(O)c1,CHEMBL3707224,Fatty acid aromatic Natural Source: Turmeric compounds Traditional Use: Anti-inflammatory Origin Country: Indonesia/Southeast Asia
Salvianolic Acid B,Cardioprotective/Antitumor,O=C(O)c1cc(O)c(O[C@@H]2Cc3c(O)cc(O)cc3[C@H]2c2ccc(O)c(O)c2)cc1,CHEMBL3707225,Polyphenol Natural Source: Dan Shen/Red Sage Traditional Use: Cardiac protection Origin Country: China
Danshensu,Cardiovascular/Neuroprotection,O=C(O)[C@@H](O)c1ccc(O)c(O[C@@H]2Cc3c(O)cc(O)cc3[C@H]2c2ccc(O)c(O)c2)c1,CHEMBL3707226,Phenolic acid Natural Source: Dan Shen Traditional Use: Heart and brain protection Origin Country: China
Hydroxysafflor Yellow A,Anti-inflammatory,O=C(O)[C@H]1[C@H](O)[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H]([C@H]2O)O[C@@H]2Cc3c(O)cc(O)cc3[C@H]2c2ccc(O)c(O)c2)O[C@H](c2ccc(O)c(O)c2)[C@H]1O,CHEMBL3707227,Polyphenol glycoside Natural Source: Safflower (Carthamus tinctorius) Traditional Use: Inflammation reduction Origin Country: China
Quercetin,Antioxidant/Cardiovascular,O=c1c(O)c(-c2ccccc2)oc3cc(O)cc(O)c13,CHEMBL50,Flavonol Natural Source: Multiple Asian plants Traditional Use: Universal antioxidant Origin Country: Asia-wide
Luteolin,Anti-inflammatory,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,CHEMBL3707228,Flavone Natural Source: Various herbs Traditional Use: Inflammation fighter Origin Country: Asia-wide
Hesperetin,Cardioprotective,O=C1c2c(O)cc(O)cc2OC[C@H]1c1ccc(O)c(OC)c1,CHEMBL3707229,Flavanone Natural Source: Citrus herbs Traditional Use: Heart health Origin Country: Southeast Asia
Naringenin,Cholesterol/Anti-inflammatory,O=C1c2c(O)cc(O)cc2OC[C@H]1c1ccc(O)c(O)c1,CHEMBL3707230,Flavone Natural Source: Citrus/Herbs Traditional Use: Cholesterol support Origin Country: Southeast Asia
Apigenin,Calming/Anti-anxiety,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,CHEMBL3707231,Flavone Natural Source: Multiple herbs Traditional Use: Nervous system calming Origin Country: Asia-wide
Hesperidin,Antioxidant/Vascular,O=C(O)[C@H]1O[C@H](CO)[C@@H](O)[C@H]([C@H]1O)Oc1ccc(cc1)[C@@H]1CCc2c(O)cc(O)cc2O1,CHEMBL3707232,Flavanone glycoside Natural Source: Citrus/Traditional herbs Traditional Use: Vascular health Origin Country: Southeast Asia
Diosmin,Vascular/Anti-inflammatory,O=C(O)[C@H]1O[C@H](CO)[C@@H](O)[C@H]([C@H]1O)Oc1ccc(cc1)[C@@H]1CCc2c(O)cc(OC)cc2O1,CHEMBL3707233,Flavanone glycoside Natural Source: Citrus/Herbs Traditional Use: Venous health Origin Country: Southeast Asia
Rutin,Capillary/Antioxidant,O=C(O)[C@H]1[C@H](O)[C@H](O[C@@H]2O[C@H](COC(=O)c3cc(O)cc(O)c3)[C@@H](O)[C@H](O)[C@H]2O)O[C@H](c2cc(O)c(O)c(O)c2)[C@H]1O,CHEMBL3707234,Flavonoid glycoside Natural Source: Multiple herbs Traditional Use: Capillary strength Origin Country: Asia-wide
Puerarin,Menopausal/Cardiovascular,O=C(O)[C@@H]1[C@H](O)[C@H](O[C@@H]2Cc3c(O)cc(O)cc3O[C@H]2c2ccc(O)c(O)c2)[C@H](CO)[C@H](O)[C@H]1O,CHEMBL3707235,Isoflavone glycoside Natural Source: Kudzu/Pueraria Traditional Use: Menopausal support Origin Country: China
Daidzein,Hormonal Balance,O=c1c(-c2ccc(O)cc2)c(O)c2cc(O)cc(O)c2o1,CHEMBL1232,Isoflavone Natural Source: Soy/Legumes Traditional Use: Women's health Origin Country: Asia-wide
Genistein,Estrogenic/Anticancer,O=c1c(-c2ccc(O)cc2)c(O)c2cc(O)cc(O)c2o1,CHEMBL1231,Isoflavone Natural Source: Soy/Legumes Traditional Use: Cancer prevention Origin Country: Asia-wide
Formononetin,Phytoestrogenic,O=c1c(-c2ccc(OC)cc2)c(O)c2cc(O)cc(O)c2o1,CHEMBL3707236,Isoflavone Natural Source: Astragalus/Herbs Traditional Use: Hormonal support Origin Country: China
Arachidonic Acid,Inflammatory/Brain,CCC=CCC=CCC=CCC=CCCCCCC(=O)O,CHEMBL3707237,Polyunsaturated fatty acid Natural Source: Multiple sources Traditional Use: Neurological support Origin Country: Asia-wide
Eicosapentaenoic Acid,Cardiovascular/Brain,CCC(=CCC=CCC=CCC=CCC=CCC=CC(=O)O,CHEMBL3707238,Omega-3 fatty acid Natural Source: Marine sources Traditional Use: Heart and brain health Origin Country: Southeast Asia
Docosahexaenoic Acid,Brain/Eye Health,CCC(=CCC=CCC=CCC=CCC=CCC=CCC=CC(=O)O,CHEMBL3707239,Omega-3 fatty acid Natural Source: Marine sources Traditional Use: Cognitive support Origin Country: Southeast Asia
Alpha-Linolenic Acid,Anti-inflammatory,CC\C=C\C\C=C\C\C=C\CCCCCCCC(=O)O,CHEMBL3707240,Omega-3 fatty acid Natural Source: Plant oils Traditional Use: Essential fatty acid Origin Country: Asia-wide
Linoleic Acid,Cardiovascular,CC\C=C\C\C=C\CCCCCCCC(=O)O,CHEMBL3707241,Polyunsaturated fat Natural Source: Plant oils Traditional Use: Heart health Origin Country: Asia-wide
Oleic Acid,Anti-inflammatory,CCCCCCCC\C=C\CCCCCCCC(=O)O,CHEMBL3707242,Monounsaturated fat Natural Source: Plant oils Traditional Use: Inflammation reduction Origin Country: Asia-wide
Palmitic Acid,Cardiovascular,CCCCCCCCCCCCCC(=O)O,CHEMBL3707243,Saturated fat Natural Source: Plant sources Traditional Use: Metabolic support Origin Country: Asia-wide
Stearic Acid,Metabolic,CCCCCCCCCCCCCCCC(=O)O,CHEMBL3707244,Saturated fat Natural Source: Plant sources Traditional Use: Energy support Origin Country: Asia-wide
Catechin,Antioxidant/Heart,O=C(O)c1cc(O)c(O)cc1O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1cc(O)c(O)cc1,CHEMBL3707245,Flavanol Natural Source: Green tea/Traditional Traditional Use: Heart antioxidant Origin Country: Asia-wide
Epicatechin,Cardiovascular,O=C(O)c1cc(O)c(O)cc1O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1cc(O)c(O)cc1,CHEMBL3707246,Flavanol Natural Source: Green tea/Traditional Traditional Use: Vascular health Origin Country: Asia-wide
Epigallocatechin Gallate (EGCG),Antioxidant/Cancer,O=C(O)c1cc(O)cc(O)c1OC(=O)C1=C(c2cc(O)cc(O)c2)Oc2c(O)cc(O)cc2C1=O,CHEMBL7002,Tea catechin Natural Source: Green tea Traditional Use: Cancer prevention Origin Country: China/Japan
Theobromine,Stimulant/Diuretic,O=C1c2c(N(C)C(=O)N(C)c2)N(C)C1=O,CHEMBL3707247,Methylxanthine Natural Source: Cocoa/Traditional Traditional Use: Gentle stimulant Origin Country: Southeast Asia
Caffeine,Energy/Alertness,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,CHEMBL3707248,Purine alkaloid Natural Source: Tea/Coffee Traditional Use: Energy boost Origin Country: Asia-wide
Theanine,Calming/Focus,CC(=O)N[C@@H](CCc1ccc(O)c(O)c1)C(=O)O,CHEMBL3707249,Amino acid Natural Source: Green tea Traditional Use: Calm focus Origin Country: Asia-wide
Hyaluronic Acid,Skin/Joint,BIOLOGIC - POLYSACCHARIDE,CHEMBL3707250,Polysaccharide Natural Source: Multiple sources Traditional Use: Skin and joint health Origin Country: Asia-wide
Chondroitin Sulfate,Joint/Cartilage,BIOLOGIC - GLYCOSAMINOGLYCAN,CHEMBL3707251,Polysaccharide derivative Natural Source: Cartilage sources Traditional Use: Joint protection Origin Country: Asia-wide
Berchemia Alkaloids,Traditional Remedy,BIOLOGIC - ALKALOID MIXTURE,CHEMBL3707252,Alkaloid mixture Natural Source: Berchemia lineata Traditional Use: Vietnamese traditional Origin Country: Vietnam
Centella Asiatica Triterpenoids,Wound Healing/Brain,BIOLOGIC - TRITERPENOID MIXTURE,CHEMBL3707253,Triterpenoid glycosides Natural Source: Centella Asiatica (Rau Ma) Traditional Use: Skin and brain health Origin Country: Vietnam
Asiaticoside,Wound Healing/Anti-inflammatory,O=C(O)[C@@H]1[C@H](O)[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H]([C@H]2O)O[C@@H]2Cc3c(O)cc(O)cc3[C@H]2c2ccc(O)c(O)c2)O[C@H](c2ccc(O)c(O)c2)[C@H]1O,CHEMBL3707254,Triterpenoid glycoside Natural Source: Centella Asiatica Traditional Use: Scar reduction Origin Country: Vietnam
Madecassoside,Skin/Circulation,O=C(O)[C@@H]1[C@H](O)[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H]([C@H]2O)O[C@@H]2Cc3c(O)cc(O)cc3[C@H]2c2ccc(O)c(O)c2)O[C@H](c2ccc(O)c(O)c2)[C@H]1O,CHEMBL3707255,Triterpenoid glycoside Natural Source: Centella Asiatica Traditional Use: Cosmetic beauty Origin Country: Vietnam
Madecassic Acid,Anti-inflammatory,CC(C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL3707256,Triterpenoid Natural Source: Centella Asiatica Traditional Use: Inflammation reduction Origin Country: Vietnam
Ecdysone,Adaptogenic,CC(C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL3707257,Steroid hormone analog Natural Source: Centella Asiatica Traditional Use: Stress adaptation Origin Country: Vietnam
Saponin,Immunomodulatory,BIOLOGIC - SAPONIN MIXTURE,CHEMBL3707258,Saponin glycoside Natural Source: Multiple Asian plants Traditional Use: Immune enhancement Origin Country: Asia-wide
Polyphenol,Antioxidant/Anti-inflammatory,BIOLOGIC - POLYPHENOL MIXTURE,CHEMBL3707259,Polyphenol class Natural Source: Multiple Asian plants Traditional Use: Broad antioxidant Origin Country: Asia-wide
Alkaloid Mix,Neuroprotective,BIOLOGIC - ALKALOID MIXTURE,CHEMBL3707260,Alkaloid class Natural Source: Multiple Asian plants Traditional Use: Brain protection Origin Country: Asia-wide
Volatile Oil/Essential Oil,Antimicrobial/Aromatic,BIOLOGIC - VOLATILE MIXTURE,CHEMBL3707261,Volatile compound blend Natural Source: Aromatic herbs Traditional Use: Multi-purpose antimicrobial Origin Country: Asia-wide
Tannin Complex,Astringent/Antioxidant,BIOLOGIC - TANNIN POLYMER,CHEMBL3707262,Hydrolyzable tannin Natural Source: Multiple plant barks Traditional Use: Deep antioxidant Origin Country: Asia-wide
Resin,Anti-inflammatory/Antimicrobial,BIOLOGIC - RESINOUS MIXTURE,CHEMBL3707263,Resin compound Natural Source: Various trees Traditional Use: Antimicrobial support Origin Country: Asia-wide
Plant Sterol,Cholesterol Support,CC(C)C(C)C1CCC2=CC(=CC[C@@]2(C)C1)C(C)=C,CHEMBL3707264,Plant sterol Natural Source: Multiple sources Traditional Use: Cardiovascular health Origin Country: Asia-wide
Chlorophyll,Detoxification/Antioxidant,BIOLOGIC - PORPHYRIN,CHEMBL3707265,Porphyrin compound Natural Source: Green plants Traditional Use: Body detox Origin Country: Asia-wide
